p,q,nobs,parameters,llf,aic,bic,mu_pct,sigma_pct,ar,ma,converged,message,starts,gradient_max,min_ar_root,min_ma_root,status,delta_bic,selected,scale
0,0,26568,2,32438.815976148973,-64873.63195229795,-64857.25702677183,-0.0006106410656563006,0.07136756866885505,[],[],True,closed_form,1,0.0,inf,inf,eligible,0.0,True,5min
0,1,26568,3,32438.89620428004,-64871.79240856008,-64847.230020270916,-0.0006110515495432063,0.07136735108149556,[],[0.0025072605088143135],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,2.2204460492635e-08,inf,398.8416825792471,eligible,10.027006500917196,False,5min
1,0,26568,3,32438.894362812673,-64871.788725625345,-64847.22633733618,-0.0006110423305744358,0.07136735612235794,[0.0024496924063036937],[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0.0,408.2145160048424,inf,eligible,10.030689435654494,False,5min
0,2,26568,4,32440.682986287597,-64873.36597257519,-64840.616121522966,-0.0006106415400268964,0.07136245766244227,[],"[0.002699340544512363, -0.011895821665680706]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,2.2204460492635e-08,inf,9.055839212947824,eligible,16.640905248867057,False,5min
1,1,26568,4,32442.492921279576,-64876.98584255915,-64844.235991506925,-0.0006117197195683743,0.07135733902404902,[-0.845607205435085],[0.8546717545199463],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,6.661338188235029e-08,1.1825821653038968,1.1700398365939706,eligible,13.021035264908278,False,5min
2,0,26568,4,32440.6265254999,-64873.2530509998,-64840.503199947576,-0.0006106192749399538,0.07136261478823608,"[0.002465833405466448, -0.011575554149303547]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,2.2204460492635e-08,9.294565762332622,inf,eligible,16.753826824256976,False,5min
0,3,26568,5,32441.943089539745,-64873.88617907949,-64832.94886526421,-0.0006104971781024499,0.07135897601705354,[],"[0.0028098904644981424, -0.011824488172167925, 0.009907041642698577]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,inf,4.271702124132018,eligible,24.30816150762257,False,5min
1,2,26568,5,32443.538436103336,-64877.07687220667,-64836.13955839139,-0.0006104271535386212,0.07135447307909407,[-0.7516381365400847],"[0.754394680233158, -0.010453726966441524]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.1102230313725048e-07,1.3304274376007132,1.3020728317985544,eligible,21.117468380442006,False,5min
2,1,26568,5,32443.541909137617,-64877.083818275234,-64836.14650445995,-0.0006104234679733935,0.07135446324863444,"[-0.7631521482567014, -0.010388648714431988]",[0.7658897620246092],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,6.6613381477905e-08,1.334601303980648,1.3056709327939398,eligible,21.110522311879322,False,5min
3,0,26568,5,32441.89678255865,-64873.7935651173,-64832.85625130202,-0.0006104749889892106,0.0713591050577638,"[0.00257902910053927, -0.011592549576212093, 0.009942229253833255]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,2.2204460492635e-08,4.461363237256569,inf,eligible,24.40077546981047,False,5min
0,4,26568,6,32443.71322682884,-64875.42645365768,-64826.30167707934,-0.0006102635317378252,0.07135403327838809,[],"[0.002643738555919207, -0.011696942653620652, 0.010072215464083812, -0.011814550844482855]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,6.6613381477905e-08,inf,2.7648404970135623,eligible,30.955349692492746,False,5min
1,3,26568,6,32443.55958024512,-64875.11916049024,-64825.9943839119,-0.0006104281042748572,0.07135441316015824,[-0.7278379592170504],"[0.7305859317794455, -0.009775085081008297, 0.0016895231919988518]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.4408921254900194e-08,1.3739321882520659,1.3392133666533204,eligible,31.262642859932384,False,5min
2,2,26568,6,32443.557537136257,-64875.115074272515,-64825.990297694174,-0.0006104245924119502,0.07135441881855457,"[-0.8649984924210565, -0.10002237414780603]","[0.8677325736326011, 0.0904717112453028]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,6.883382756299079e-07,1.3745455356861225,1.3395032187230793,eligible,31.266729077658965,False,5min
3,1,26568,6,32443.55951600441,-64875.11903200882,-64825.99425543048,-0.0006104276421262883,0.07135441328426481,"[-0.7433242505898298, -0.009744312218146232, 0.001495750629720619]",[0.7460710541176205],True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,2.88657986404255e-07,1.3753394775301608,1.3403549092019147,eligible,31.262771341353073,False,5min
4,0,26568,6,32443.660511227157,-64875.321022454315,-64826.19624587597,-0.0006102715096639742,0.0713541857798427,"[0.0026801163412002744, -0.01172544615861091, 0.00997125592360955, -0.011746034879301384]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,2.892019116609608,inf,eligible,31.060780895859352,False,5min
0,5,26568,7,32443.751614757086,-64873.50322951417,-64816.19099017278,-0.0006102990498521685,0.07135392679135306,[],"[0.0026607743787153094, -0.011688824266022763, 0.010080656130941381, -0.011785963711396655, -0.0017560636146934613]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,inf,2.875283555160674,eligible,41.066036599055224,False,5min
1,4,26568,7,32443.748078361896,-64873.49615672379,-64816.1839173824,-0.0006102956981635921,0.07135393643233134,[0.12513752209354612],"[-0.1224768014246149, -0.012021342503676554, 0.011543723481919822, -0.01307930829985398]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,7.991208258482644,2.8114628224535783,eligible,41.07310938943556,False,5min
2,3,26568,7,32443.877027855488,-64873.754055710975,-64816.44181636958,-0.0006092407353478016,0.07135351268113195,"[0.11550833402312796, 0.6811912228354078]","[-0.11277971125129219, -0.6955091938621543, 0.006428720450455359]",True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,1.7763568403352462e-07,1.1297960615622193,1.1262226626842926,eligible,40.81521040225198,False,5min
3,2,26568,7,32443.881923091285,-64873.76384618257,-64816.451606841176,-0.0006092324369736931,0.07135349914781122,"[0.1078614290442055, 0.680937961905885, 0.006407284674730128]","[-0.1051731166269102, -0.6952300745014556]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,6.2172489379378e-07,1.1296300862269941,1.1260655612298185,eligible,40.80541993065708,False,5min
4,1,26568,7,32443.700851136695,-64873.40170227339,-64816.089462931996,-0.0006103012260508264,0.0713540724486707,"[0.1323877399507049, -0.012060221429866836, 0.011476787019524315, -0.0130674605522972]",[-0.12972619275361066],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,8.881784197054e-08,2.9076959124156647,7.70854350053503,eligible,41.167563839837385,False,5min
5,0,26568,7,32443.70739741095,-64873.4147948219,-64816.10255548051,-0.0006103069029468634,0.07135405373268816,"[0.0026570383838236704, -0.011709460528822338, 0.009951111056156982, -0.011739471417884553, -0.001917832507030427]",[],True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,4.440892098527e-08,2.88915189927959,inf,eligible,41.154471291323716,False,5min
1,5,26568,8,32443.751965521667,-64871.503931043335,-64806.00422893888,-0.0006103004867173927,0.0713539256950013,[0.02992279711879802],"[-0.027260080373977768, -0.011767962117008491, 0.01043196389760853, -0.012088760962956649, -0.0014124723325739615]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,9.99200722168575e-07,33.41933563329154,2.853551316375346,eligible,51.25279783295264,False,5min
2,4,26568,8,32443.80034935393,-64871.60069870786,-64806.1009966034,-0.0006103463397806684,0.0713537884753715,"[0.18170510083544616, -0.14998683056573567]","[-0.1790400398019667, 0.1377932603094093, 0.01248826809047527, -0.015067599399936625]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,7.5495165674959e-07,2.5821022493790893,2.1849027011404782,eligible,51.156030168429425,False,5min
3,3,26568,8,32445.147309149484,-64874.29461829897,-64808.794916194514,-0.0006105901686271599,0.0713434666106599,"[-2.015287335698002, -1.8762325811036806, -0.8562583889685804]","[2.0166775789580873, 1.8689812925466271, 0.8490638366030108]",True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,0.00012583267697873632,1.0056095811632975,1.003910196398995,eligible,48.462110577318526,False,5min
